,com,perc,snr,r,cnn
0,"(27.537813448876406, 138.56778302009235)",43.9702,6.89662,0.967381,0.999961
1,"(31.088796234640466, 156.30459502834952)",52.2624,4.80642,0.841954,0.999961
2,"(8.392532055095332, 146.3144023970778)",46.3145,4.38254,0.942029,0.999472
3,"(5.900923214714624, 136.13758102385938)",51.6846,4.22764,0.932462,0.964342
4,"(24.891209070402336, 184.53142334776254)",50.4807,5.39217,0.961317,0.999986
5,"(15.405161313963001, 175.50297631935902)",49.7089,4.78145,0.942195,0.964179
6,"(7.159676388484199, 182.71734531350657)",49.1366,4.10581,0.922338,0.950849
7,"(39.13942039097477, 177.29394847497673)",59.0982,4.78427,0.885763,0.883161
8,"(33.61395330599089, 220.47815598784783)",47.5746,11.2499,0.957456,0.999475
9,"(47.51264665866519, 226.232957293102)",49.4763,5.60385,0.363262,0.985337
10,"(9.710635934873345, 266.4645742310809)",45.3442,14.351,0.970612,0.99996
11,"(35.23598464363779, 276.6112933262553)",41.9534,9.74943,0.944188,0.997889
12,"(12.470276325445726, 256.3028251605662)",48.7276,12.7305,0.970574,1.0
13,"(25.81930932156823, 261.8533148432525)",47.8749,14.3855,0.968239,0.999995
14,"(2.9884647171335663, 272.05161348062495)",48.6836,8.42038,0.974274,0.497492
15,"(31.49814085737612, 255.33184930932333)",52.8731,8.90417,0.87608,0.999491
16,"(3.8222979350987236, 266.70403907581533)",47.4821,8.24108,0.908066,0.85442
17,"(4.792638130592941, 280.1770814087549)",55.1885,7.19505,0.915173,0.998149
18,"(8.645680305192023, 272.2025018460572)",34.5512,15.0661,0.956222,0.924988
19,"(33.01908086621832, 288.1532655616621)",43.8032,14.2567,0.924472,0.967401
20,"(7.0395397397909525, 304.31065539601894)",45.2372,19.3472,0.969963,0.961033
21,"(34.187980730227856, 307.0421182269497)",47.9306,22.4155,0.98115,0.997301
22,"(29.010261810695873, 299.5789323333896)",51.0125,15.4449,0.906799,0.999913
23,"(23.593021917127214, 311.14094206898346)",49.667,19.464,0.954774,1.0
24,"(37.497049009032786, 293.3633418567418)",45.3364,14.3688,0.919518,0.994129
25,"(31.875691413805086, 313.61570557722814)",47.4151,15.0372,0.931897,0.999996
26,"(7.624645918952602, 292.7653106220786)",43.3038,11.6529,0.772607,0.998671
27,"(13.772180234956162, 306.38637999851926)",39.0136,12.1288,0.900321,0.856268
28,"(29.41682853697177, 292.7252722602477)",43.339,14.5333,0.961487,0.999998
29,"(23.29301087534798, 303.3032833863513)",46.4626,12.6058,0.943922,0.999998
30,"(16.68984964918841, 312.35231069936043)",45.0662,14.2649,0.967322,0.956398
31,"(6.847729230639803, 332.6338261074888)",44.5964,20.0782,0.967821,0.999919
32,"(31.57027658002928, 346.4476443271675)",43.5362,12.6905,0.934522,1.0
33,"(10.485324106371435, 351.8829402200731)",47.9335,7.85901,0.948186,0.999987
34,"(22.465784954375696, 350.1333947683135)",53.1259,10.4524,0.952074,0.999646
35,"(28.33341799789981, 327.96321075176104)",50.8937,13.7135,0.951285,0.999999
36,"(11.139852771138054, 344.4326620319006)",44.4738,11.6703,0.961345,0.998861
37,"(34.53354407940279, 349.96574577477185)",48.3183,14.0432,0.956234,0.999793
38,"(4.351528530736967, 357.3903385304001)",40.209,8.17523,0.956674,0.997096
39,"(17.409365306675266, 334.0826849623703)",56.3433,9.2864,0.516141,0.935108
40,"(25.792021571697934, 358.9780189725463)",51.8655,10.7745,0.907686,1.0
41,"(45.180521848940174, 342.8613082403139)",51.2591,9.35111,0.904715,0.999709
42,"(23.807786531194118, 377.86913562528434)",43.9493,19.6439,0.95872,0.999999
43,"(11.997328189887778, 392.3986165677846)",41.8168,10.2316,0.968717,0.999997
44,"(37.97112692054081, 387.6167456451785)",64.0598,11.7752,0.918505,0.999464
45,"(17.844494758251034, 381.7931844800544)",50.3589,10.6867,0.964031,0.999101
46,"(3.9749440402602696, 383.2063040295051)",46.4583,5.52118,0.947308,0.6032
47,"(42.28855083980149, 394.49816101998016)",48.7574,5.87081,0.828684,0.997399
48,"(43.62400283107713, 369.91047725505285)",50.0586,4.43025,0.801338,0.953529
49,"(47.069349237029336, 384.5124504153608)",51.3034,4.80153,0.712881,0.985059
50,"(35.045641738179796, 432.3893365068934)",52.8213,16.1802,0.971556,0.982392
51,"(33.95469316247897, 418.93417388485886)",46.3814,11.9361,0.964703,0.937999
52,"(6.90792357672768, 412.8546643514099)",49.1326,11.8175,0.954303,0.999985
53,"(39.7768835451669, 414.57142529190094)",48.5597,11.057,0.908985,0.999999
54,"(19.122210621177917, 412.710346850134)",44.5415,4.53637,0.913212,0.995325
55,"(30.197193305505014, 414.96763242857605)",43.1846,4.98948,0.645413,0.912749
56,"(49.14657291008132, 406.8549003508155)",43.5194,8.02345,0.60045,0.68988
57,"(61.46154068652973, 103.69871889382557)",46.64,5.18748,0.888758,0.984047
58,"(78.02005389251754, 153.31108882242424)",48.0619,11.9652,0.958892,0.997211
59,"(69.86264293780393, 139.20305737781592)",45.715,6.99455,0.938883,0.999999
60,"(68.93215454591748, 151.11865169727724)",45.8705,6.63613,0.9359,0.999997
61,"(56.626777178671745, 151.53109909555323)",50.8725,4.30599,0.908011,0.999709
62,"(62.30932030403137, 136.74910612383474)",50.6673,5.4003,0.913406,0.999838
63,"(59.37189334497464, 175.01059687290925)",44.7137,16.6152,0.967833,1.0
64,"(57.817722826288254, 181.51300094901922)",50.919,7.09466,0.963827,0.997652
65,"(66.96648876883624, 181.61636463281974)",50.1393,7.08587,0.885325,0.993245
66,"(74.92331579186923, 179.54451019038572)",53.8887,6.86134,0.917484,0.999984
67,"(61.79198324072282, 195.1396612068059)",50.3731,6.37127,0.881818,0.999911
68,"(76.21417198300682, 197.61670403893316)",37.8834,6.32809,0.860489,0.744458
69,"(59.35061037666144, 218.07673526963325)",53.6399,11.0135,0.88248,0.999482
70,"(54.84250053256695, 233.30665829868968)",55.1931,10.836,0.905767,1.0
71,"(74.34762821543079, 217.56547484837648)",53.4932,8.37702,0.934241,0.964871
72,"(62.319678062054045, 239.31088558367148)",49.6133,8.36625,0.720149,0.997239
73,"(56.01617652837719, 226.6533920530738)",43.3229,8.38285,0.591066,0.999919
74,"(67.32809553560068, 214.32191046456867)",48.3515,8.08289,0.763317,0.985671
75,"(77.58107510815128, 248.14762491204317)",42.6954,9.30476,0.736665,0.998571
76,"(69.71380719145023, 222.94516143459816)",42.3495,6.1634,0.882099,0.999453
77,"(56.465121238958865, 267.8163697830271)",47.5569,16.2818,0.977077,0.98488
78,"(71.23866234533376, 278.4630296340598)",48.2768,14.3648,0.972086,0.999714
79,"(79.44774680768387, 264.6210611585467)",50.1098,16.2414,0.946421,1.0
80,"(63.787828344914224, 270.2224480427785)",49.4465,11.3783,0.933631,0.976398
81,"(74.77123527896019, 254.9077997143537)",45.4548,9.76129,0.812016,0.994322
