*mouse,*glass,*slice,*hemisphere (1=left),*area acronym,spheres,*damage,MAP2,GFAP [um2],Auto [um2]
41,1,0,1,SSs6a,1,1,,,37658
41,1,0,1,PIR2,0,1,,,8145
41,1,1,1,CP,5,1,,,784179
41,1,1,1,AIp2/3,1,1,,,23930
41,1,1,1,SSp-ul2/3,1,0,,,
41,1,2,1,GPe,4,1,,,216478
41,1,2,1,SSp-bfd6a,1,1,,,25104
41,1,2,1,SSp-bfd5,1,0,,,
41,1,3,1,RE,6,0,,,
41,1,3,1,RCH,1,0,,,
41,1,3,1,LHA,1,0,,,
41,1,3,1,RT,3,1,,,64465
41,1,3,1,GPe,3,1,,,111905
41,1,3,1,IAD,1,0,,,
41,1,3,1,AIp,1,1,,,73860
41,1,3,1,AIp,1,0,,,
41,1,3,1,SSp-bfd,3,1,,,72367
41,1,3,1,VISC5,2,0,,,
41,1,3,1,CP,1,1,,,43148
41,1,4,1,AId2/3,5,1,,,57969
41,1,4,1,PIR3,2,0,,,
41,1,5,1,AIv5,1,1,,,73775
41,1,5,1,AIv2/3,2,1,,,12096
41,1,5,1,MOp5,3,1,,,43969
41,1,5,1,MOp2/3,1,0,,,
41,1,5,1,PIR2,2,1,,,7779
41,1,5,1,EPd,1,1,,,19144
41,1,6,1,GU6a,2,1,,,248322
41,1,6,1,GU5,1,0,,,
41,1,6,1,MOp6a,1,0,,,
41,1,6,1,ORBl2/3,1,1,,,72062
41,1,6,0,PIR2,1,0,,,
41,1,6,1,OT1,2,0,,,
41,1,7,1,SSp-n,0,1,,,65336
41,1,7,1,MOp5,2,0,,,
41,1,7,1,CP,1,1,,,42788
41,1,8,1,OT2,0,1,,,19713
41,1,8,1,ACB,0,1,,,128292
41,1,8,1,CP,2,1,,,43172
41,1,8,1,SSp-ul6a,0,1,,,80259
41,1,8,1,SSp-n6b,1,1,,,25231
41,1,8,1,SSs6a,0,1,,,53716
41,1,8,1,SSp-m6a,1,0,,,
41,1,8,1,GU2/3,1,1,,,15273
41,1,9,1,SSp-ul6b,1,1,,,49805
41,1,9,1,SSp-m6a,1,1,,,89788
41,1,9,1,SSp-n6a,2,0,,,
41,1,9,1,SSp-n2/3,1,0,,,
41,1,9,1,GU4,1,0,,,
41,1,9,1,PIR2,1,0,,,
41,1,9,1,CP,1,1,,,134525
41,1,9,1,CP,1,0,,,
41,1,10,1,SSp-ll6b,1,1,,,24567
41,1,10,1,SSp-m6a,0,1,,,34275
41,1,10,1,CP,1,1,,,67787
41,1,11,1,SSp-bfd5,1,0,,,
41,1,11,1,CP,3,1,,,57920
41,1,12,1,CP,2,0,,,
41,1,12,1,CP,1,1,,,319592
41,1,12,1,CLA,1,0,,,
41,1,12,1,AIp2/3,0,1,,,32068
41,2,0,1,VISC,1,1,,,115530
41,2,0,1,SSs2/3,0,1,,,29117
41,2,0,1,SSp-bfd,0,1,,,110317
41,2,0,1,SSp-bfd6a,1,0,,,
41,2,0,1,CA3so,0,1,,,31494
41,2,0,1,RT,5,1,,,43413
41,2,0,1,VAL,5,1,,,249691
41,2,0,1,int,1,0,,,
41,2,0,1,IAD,2,1,,,30861
41,2,0,1,VMHvl,1,0,,,
41,2,0,1,PVH,6,0,,,
41,2,0,1,AHNa,2,1,,,49018
41,2,1,1,VISC5,1,1,,,136390
41,2,1,1,SSs4,0,1,,,73389
41,2,1,1,SSp-bfd6a,2,1,,,79873
41,2,1,1,IA,1,0,,,
41,2,1,1,VMHvl,1,0,,,
41,2,1,1,VPL,2,1,,,169026
41,2,1,1,RT,1,0,,,
41,2,1,1,VM,1,1,,,80060
41,2,1,1,VPM,5,1,,,131672
41,2,1,1,AMd,3,1,,,63709
41,2,1,1,MDl,1,1,,,17027
41,2,1,1,CA3sp,0,1,,,36197
41,2,1,1,CA3slu,1,0,,,
41,2,1,1,chpl,1,0,,,
41,2,1,1,PIR1,1,0,,,
41,2,2,1,AUDv,2,1,,,266428
41,2,2,1,TU,4,0,,,
41,2,2,1,ZI,1,0,,,
41,2,2,1,VPM,1,0,,,
41,2,2,1,PCN,2,0,,,
41,2,2,1,PO,1,0,,,
41,2,2,1,PVT,1,0,,,
41,2,2,1,MDl,2,1,,,26129
41,2,2,1,fi,1,0,,,
41,2,2,1,CA3sp,1,1,,,83138
41,2,3,1,TEa6a,7,1,,,39250
41,2,3,1,SSs6a,0,1,,,52114
41,2,3,1,CP,4,1,,,64243
41,2,3,1,int,1,0,,,
41,2,3,1,MDm,2,0,,,
41,2,3,1,VPM,3,1,,,33446
41,2,3,1,CA3,1,1,,,210630
41,2,3,0,PERI1,1,0,,,
41,2,4,1,chpl,1,0,,,
41,2,4,1,PIR2,1,0,,,
41,2,4,1,TEa6a,0,1,,,35590
41,2,4,1,CP,0,1,,,88126
41,2,4,1,SSs6a,0,1,,,11734
41,2,4,1,ZI,1,0,,,
41,2,4,1,VPM,1,0,,,
41,2,4,1,CA1sr,1,1,,,6602
41,2,4,1,DG-mo,3,1,,,5092
41,2,4,1,CA3sp,0,1,,,13714
41,2,5,1,CP,1,1,,,64337
41,2,5,1,CEAm,1,0,,,
41,2,5,1,PVT,3,1,,,13761
41,2,5,1,VPM,1,0,,,
41,2,5,1,PO,1,0,,,
41,2,5,1,chpl,3,0,,,
41,2,6,1,BLAa,0,1,,,16463
41,2,6,1,ENTl,0,1,,,84138
41,2,6,1,CP,0,1,,,20569
41,2,6,1,AUDp6b,1,1,,,7084
41,2,6,1,SSp-bfd6b,1,0,,,
41,2,6,1,SSp-bfd5,0,1,,,26395
41,2,6,1,ZI,1,0,,,
41,2,6,1,VPM,1,0,,,
41,2,6,1,VPM,2,1,,,14209
41,2,6,1,LP,1,0,,,
41,2,6,1,MDm,1,0,,,
41,2,6,1,MDc,1,0,,,
41,2,6,1,LH,1,0,,,
41,2,6,1,CA1sp,0,1,,,32578
41,2,6,1,CA1slm,1,0,,,
41,2,6,1,CA2sp,0,1,,,7871
41,2,7,1,PIR2,1,0,,,
41,2,7,1,LA,2,1,,,26780
41,2,7,1,ECT2/3,0,1,,,62902
41,2,7,1,AUDd6b,0,1,,,19187
41,2,7,1,SSp-bfd6a,5,1,,,51744
41,2,7,1,VAL,3,1,,,42430
41,2,7,1,VPM,4,0,,,
41,2,7,1,PO,1,1,,,20942
41,2,7,1,CA2sp,0,1,,,4800
41,2,7,1,CA1sp,1,1,,,29278
41,2,8,1,PIR1,1,0,,,
41,2,8,1,ENTl2/3,0,1,,,10995
41,2,8,1,PERI,0,1,,,64552
41,2,8,1,AUDd5,1,0,,,
41,2,8,1,SSp-bfd,0,1,,,30512
41,2,8,1,MEApd-c,1,0,,,
41,2,8,1,VAL,3,1,,,57746
41,2,8,1,VPL,1,0,,,
41,2,8,1,CA2sp,1,1,,,32390
41,2,8,1,CA3sp,0,1,,,49040
41,2,8,1,CA1sp,0,1,,,12995
41,2,8,1,LA,1,1,,,12465
41,2,9,1,LHA,1,0,,,
41,2,9,1,BLAv,0,1,,,11525
41,2,9,1,ENTl2/3,1,1,,,28960
41,2,9,1,PERI,2,1,,,43383
41,2,9,1,cc,1,1,,,27899
41,2,9,1,SSp-un6a,1,0,,,
41,2,9,1,SSp-un4,1,1,,,27926
41,2,9,1,LGd,2,0,,,
41,2,9,1,VPM,1,1,,,28255
41,2,9,1,PO,0,1,,,56134
41,2,9,1,LA,1,0,,,
41,2,9,0,RSPv2/3,1,0,,,
41,2,9,1,CA1sp,3,1,,,78306
41,2,9,1,CA3sp,8,1,,,133953
41,2,10,1,PSTN,1,0,,,
41,2,10,1,ZI,0,1,,,20948
41,2,10,1,PF,1,0,,,
41,2,10,1,PRC,1,0,,,
41,2,10,1,ECT5,3,1,,,45087
41,2,10,1,BLAv,3,1,,,52747
41,2,10,1,COApm2,1,1,,,67623
41,2,10,1,COApm3,1,1,,,24236
41,2,10,1,AUDv5,0,1,,,15076
