,n0,n1,n2,n3,n0_r,n1_r,n2_r,n3_r,period,mouse_id,baseline_stability,classes
0,0,376,16,15,,92.38329238,3.931203931,3.685503686,pre,33_1,0.3722,"[1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 2 1 1 1 1 1 1 1 1 1 1 1 2 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 3
 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 3 1 3 1 1 1
 1 3 1 1 2 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 2 1 1 1 1 1 1 2 1 1
 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]"
1,89,311,2,5,,97.79874214,0.628930818,1.572327044,early,33_1,0.3722,"[1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 3 1 1 0 0 0 1
 1 1 1 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 3 1 1 0 0 0 1 1
 0 1 0 1 1 1 1 1 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 1 1 1
 0 1 1 1 1 0 1 0 0 1 0 0 0 0 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0
 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 3 1 0 1 1 1 1 0 1 1 1 1
 1 0 1 0 1 1 2 3 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 0 0 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1
 0 0 0 1 1 0 1 1 0 1 0 0 1 1 1 0 1 1 1 1 1 0 1 1 0 1 1 1 0 0 0 1 0 0 0 1 1]"
2,108,298,0,1,,99.66555184,0,0.334448161,late,33_1,0.3722,"[1 1 0 1 1 1 1 0 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 0 1 1
 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1
 1 1 1 1 0 1 0 1 1 0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 0 0 1 1 0 1 0 1 0 1 1 1 0
 0 0 0 1 1 1 1 1 1 0 0 0 1 1 0 0 0 0 0 1 1 0 1 1 0 1 0 0 1 1 0 0 0 0 1 1 1
 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3
 1 1 1 1 1 1 0 0 1 1 1 0 0 1 0 0 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1
 1 0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 0 0 0 1 0 1 1 1 1 1 1
 0 0 1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 1 0 1 1 0 1 0 1 0 0 1 1 1 0 1 0 0 1 1 1
 1 1 0 0 0 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0 0 1 0 0 0 0 1 1]"
3,24,103,60,59,,46.3963964,27.02702703,26.57657658,pre,41_1,0.3277,"[2 2 3 2 2 3 3 2 3 2 2 1 1 1 2 1 0 3 3 2 3 1 3 1 1 1 1 1 1 1 1 2 2 2 1 3 1
 1 1 1 1 2 2 3 2 2 1 1 1 1 3 3 1 1 1 1 2 3 1 1 1 1 1 3 3 1 1 1 1 1 1 1 2 2
 1 1 1 3 1 1 1 2 0 1 3 2 3 3 3 3 1 3 2 2 2 1 3 1 3 1 3 3 1 2 2 3 3 3 2 3 2
 3 2 3 0 2 3 1 3 1 3 3 1 3 2 2 3 2 3 2 0 3 2 1 3 2 2 3 2 3 2 3 2 1 3 1 3 1
 2 3 1 2 1 1 1 3 2 2 1 2 1 1 2 1 2 3 3 1 1 3 2 3 2 2 1 3 2 2 2 2 2 2 3 0 0
 3 1 1 1 1 1 1 1 2 2 3 2 1 1 1 1 1 1 3 3 1 1 1 3 2 0 0 1 1 1 1 0 0 1 1 1 1
 1 1 0 1 1 1 0 0 1 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0]"
4,50,191,5,0,,97.44897959,2.551020408,0,early,41_1,0.3277,"[1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 1 1 1 2 1 1 1 1 0 1 1 0 1 1 1 1 1
 1 1 1 1 1 1 1 0 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 0 1 1 1 0 0 1 1 1 1 1 1 1 0 1
 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0 1 1 0 1 1 0 0 0 1 1 1 0 1 1 0 0 1 1 1
 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 0 1 1 0 0 0 1 1 1
 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1]"
5,57,160,20,9,,84.65608466,10.58201058,4.761904762,late,41_1,0.3277,"[1 0 0 0 0 0 0 0 0 0 0 0 1 2 1 1 0 1 1 0 1 1 2 2 0 1 1 3 1 1 1 1 1 1 1 1 1
 1 3 1 2 1 3 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 3 1 1 1 2 1 1 1 3 1 1 1 1 1 1 1 1 1 0 0 1 1 0 3 1 1 0 1 1 0 2 2 1 1 1 0 2
 1 0 1 1 2 1 1 1 1 1 1 1 1 0 0 1 0 0 1 1 0 2 2 0 0 0 1 1 1 0 1 1 1 0 1 1 1
 1 1 1 2 0 1 3 1 1 1 0 0 1 2 2 1 1 1 1 1 1 1 1 1 3 1 1 0 0 1 1 1 0 0 0 0 1
 1 1 2 1 1 1 1 1 1 0 0 1 2 0 2 1 1 1 0 1 1 1 0 3 1 1 2 1 1 1 1 0 1 1 1 0 1
 0 1 1 1 1 0 1 0 1 1 1 0 1 0 1 2 1 0 1 0 0 1 1 0]"
6,0,77,3,2,,93.90243902,3.658536585,2.43902439,pre,63_1,0.3967,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 2 1 1 1 1 1 1 1 1 1 1 2 3 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1]"
7,31,51,0,0,,100,0,0,early,63_1,0.3967,"[0 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 0 0 1 1 1 0 0 1 1 0 0 1 1 1 0 1 1 0 1 1 1
 1 0 0 1 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 1 1 1 1 0 1 0 1 1 1 1 1 1 0 0 1 0 1
 1 1 1 0 0 1 1 1]"
8,16,66,0,0,,100,0,0,late,63_1,0.3967,"[0 1 0 1 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1
 1 1 0 1 1 0 1 0 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
 1 1 1 1 1 1 1 1]"
9,17,268,33,32,,80.48048048,9.90990991,9.60960961,pre,69_1,0.3343,"[1 1 1 1 1 1 1 2 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 0 1 1 1 1 2 3 1 1 1 3 1 3 1
 1 2 2 3 1 2 2 1 1 1 2 1 3 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 2 1 1 2 1 2 1
 1 1 1 1 1 2 1 3 1 1 1 1 1 2 1 1 1 1 1 3 2 1 1 1 2 2 3 1 3 1 1 1 2 1 1 1 1
 1 1 1 3 3 1 1 1 1 3 1 1 2 1 1 1 1 1 1 1 3 1 2 1 3 1 1 3 1 1 3 1 1 1 1 1 1
 1 1 3 3 1 3 1 3 1 1 1 1 1 2 2 1 2 1 1 2 2 1 3 1 1 1 2 1 1 1 1 1 3 1 2 2 1
 1 1 3 1 1 1 3 1 1 3 1 1 1 1 3 1 2 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 0
 1 1 3 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 3 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 3 1 1 0 1 1 0 1 1 1 1 1
 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]"
