,mouse_id,pc_pre,pc_early,pc_late
0,33,"[[ 95.  40.   0.]
 [156. 490.  13.]
 [  0.  16.   4.]]","[[187.  67.   0.]
 [ 76. 468.   6.]
 [  1.   8.   1.]]","[[108.  30.   0.]
 [ 66. 202.   0.]
 [  0.   0.   1.]]"
1,41,"[[ 50.  58.  31.]
 [ 39. 179.  97.]
 [  5.  15.  18.]]","[[ 44.  64.   1.]
 [ 56. 195.   9.]
 [ 60.  62.   1.]]","[[313. 127.   6.]
 [137. 355.  24.]
 [  0.  18.   4.]]"
2,63,"[[48. 61.  1.]
 [38. 93.  2.]
 [ 0.  3.  0.]]","[[55. 38.  0.]
 [49. 21.  0.]
 [ 1.  0.  0.]]","[[ 61.  44.   0.]
 [ 37. 104.   0.]
 [  0.   0.   0.]]"
3,69,"[[ 81. 134.  17.]
 [ 60. 348.  43.]
 [  0.  10.   7.]]","[[  3.  58.   3.]
 [ 23. 473.  62.]
 [  7.  56.  15.]]","[[ 56.  54.   1.]
 [ 99. 707.  50.]
 [  5.  67.  11.]]"
4,83,"[[ 37. 158.   2.]
 [114. 737.  13.]
 [  0.  18.   1.]]","[[ 12.  30.   0.]
 [ 85. 388.  14.]
 [  2.   9.   0.]]","[[ 196.  189.    9.]
 [ 217. 1129.   70.]
 [   6.   56.   18.]]"
5,85,"[[200. 117.  12.]
 [139. 218.  14.]
 [ 13.  30.   7.]]","[[ 11.  91.  35.]
 [ 73. 207.  24.]
 [ 20.  33.   6.]]","[[378. 291.  27.]
 [333. 565.  52.]
 [ 29.  53.  22.]]"
6,86,"[[ 42.  35.   5.]
 [ 15. 110.  27.]
 [  7.  13.   4.]]","[[ 7.  5.  8.]
 [24. 64. 19.]
 [ 8. 31.  6.]]","[[123.  67.   9.]
 [ 68. 243.  31.]
 [ 11.  34.  16.]]"
7,89,"[[257. 116.   1.]
 [112. 241.   2.]
 [  1.   1.   1.]]","[[ 25.  71.   0.]
 [143. 124.   1.]
 [  0.   2.   0.]]","[[550. 172.   1.]
 [118. 420.  10.]
 [  0.  10.   0.]]"
8,90,"[[ 25.  75.   1.]
 [ 38. 278.   8.]
 [  1.  11.   1.]]","[[ 34.  57.   5.]
 [108.  82.   2.]
 [  3.   0.   1.]]","[[155. 135.   2.]
 [146. 500.  30.]
 [  6.  29.  19.]]"
9,91,"[[  0.  36.   2.]
 [  0. 243.  37.]
 [  0.  13.   3.]]","[[ 35.  46.   0.]
 [105. 386.  29.]
 [  6.  46.  15.]]","[[127. 152.   5.]
 [213. 976.  79.]
 [  5.  83.  30.]]"
10,93,"[[  8.  15.   0.]
 [ 57. 252.  26.]
 [  3.  29.   7.]]","[[  0.  39.  29.]
 [ 50. 457.  89.]
 [ 24.  84.  22.]]","[[ 221.  226.   21.]
 [ 177. 1057.  101.]
 [  25.  124.   33.]]"
11,95,"[[178. 119.  19.]
 [173. 682. 130.]
 [  9.  55.  35.]]","[[ 28.  12.  13.]
 [ 53. 345.  85.]
 [ 28.  76.  60.]]","[[140. 128.  21.]
 [142. 745. 183.]
 [ 15. 194. 182.]]"
12,108,"[[ 52.  67.  22.]
 [ 82. 245.  69.]
 [ 23.  52.  20.]]","[[  0.  49.  38.]
 [ 57. 201.  75.]
 [ 59.  94.  59.]]","[[215. 281.  58.]
 [278. 894. 182.]
 [ 43. 184.  77.]]"
13,110,"[[ 20.  79.   3.]
 [ 35. 229.  28.]
 [  2.  28.  12.]]","[[ 18.  36.   0.]
 [ 74. 254.  19.]
 [  4.  28.   3.]]","[[189. 174.   7.]
 [202. 797.  61.]
 [  9.  58.  29.]]"
14,111,"[[ 22.  45.  24.]
 [ 26. 181.  67.]
 [  1.  20.  16.]]","[[ 14.   6.   4.]
 [ 27. 194.  32.]
 [ 13.  66.  46.]]","[[114. 116.  10.]
 [139. 657. 141.]
 [ 25. 141.  64.]]"
15,113,"[[ 18.  51.  22.]
 [ 32. 358. 130.]
 [  4.  46.  39.]]","[[ 83.  41.   3.]
 [123. 286.  25.]
 [ 41.  82.  16.]]","[[ 477.  232.   17.]
 [ 226. 1091.  174.]
 [  21.  145.   67.]]"
16,114,"[[ 49.  46.  19.]
 [ 89. 258.  61.]
 [ 13.  50.  29.]]","[[  1.  73.  11.]
 [ 75. 273.  60.]
 [ 18.  75.  28.]]","[[173. 133.  29.]
 [176. 627. 151.]
 [ 16. 130. 100.]]"
17,115,"[[131.  69.   8.]
 [106. 287.  36.]
 [  2.  18.   5.]]","[[  0. 124.   8.]
 [119. 329.  26.]
 [  3.  31.  22.]]","[[437. 318.  12.]
 [301. 968. 118.]
 [ 18. 113.  32.]]"
18,116,"[[ 20.  23.  45.]
 [ 19. 319. 116.]
 [  1.  48.  27.]]","[[ 23.  18.   0.]
 [ 62. 292.  42.]
 [ 21. 108.  52.]]","[[ 200.  152.   17.]
 [ 154. 1200.  164.]
 [   5.  176.   95.]]"
19,122,"[[157. 100.   5.]
 [122. 377.  21.]
 [  3.  12.   5.]]","[[  0. 155.   0.]
 [205. 400.  15.]
 [  3.  20.   4.]]","[[ 628.  436.   10.]
 [ 374. 1234.   61.]
 [   7.   51.    6.]]"
,,,,
