,mouse_id,pre_early,pre_late,early_late
0,33_1,"[[  0.   0.   0.   0.]
 [ 87. 285.   1.   3.]
 [  1.  13.   1.   1.]
 [  1.  13.   0.   1.]]","[[  0.   0.   0.   0.]
 [105. 271.   0.   0.]
 [  3.  13.   0.   0.]
 [  0.  14.   0.   1.]]","[[ 68.  20.   0.   1.]
 [ 40. 271.   0.   0.]
 [  0.   2.   0.   0.]
 [  0.   5.   0.   0.]]"
1,41_1,"[[ 5. 19.  0.  0.]
 [ 7. 92.  4.  0.]
 [23. 36.  1.  0.]
 [15. 44.  0.  0.]]","[[10. 12.  1.  1.]
 [ 9. 78. 11.  5.]
 [22. 30.  6.  2.]
 [16. 40.  2.  1.]]","[[ 38.  10.   0.   2.]
 [ 19. 146.  19.   7.]
 [  0.   4.   1.   0.]
 [  0.   0.   0.   0.]]"
2,63_1,"[[ 0.  0.  0.  0.]
 [31. 46.  0.  0.]
 [ 0.  3.  0.  0.]
 [ 0.  2.  0.  0.]]","[[ 0.  0.  0.  0.]
 [15. 62.  0.  0.]
 [ 1.  2.  0.  0.]
 [ 0.  2.  0.  0.]]","[[11. 20.  0.  0.]
 [ 5. 46.  0.  0.]
 [ 0.  0.  0.  0.]
 [ 0.  0.  0.  0.]]"
3,69_1,"[[  1.  15.   1.   0.]
 [  0. 213.  50.   5.]
 [  0.  24.   9.   0.]
 [  2.  24.   6.   0.]]","[[  3.  12.   2.   0.]
 [  9. 227.  22.  10.]
 [  0.  24.   7.   2.]
 [  0.  22.   8.   2.]]","[[  1.   1.   1.   0.]
 [ 11. 229.  27.   9.]
 [  0.  50.  11.   5.]
 [  0.   5.   0.   0.]]"
4,83_1,"[[  0.   1.   0.   0.]
 [ 13. 226.   7.   1.]
 [  1.   8.   1.   1.]
 [  0.   9.   1.   1.]]","[[  0.   0.   0.   1.]
 [  1. 190.  25.  31.]
 [  0.   6.   3.   2.]
 [  0.   6.   3.   2.]]","[[  0.  11.   0.   3.]
 [  1. 183.  29.  31.]
 [  0.   7.   2.   0.]
 [  0.   1.   0.   2.]]"
5,85_1,"[[  8.  16.   3.   2.]
 [ 15. 125.  21.   7.]
 [  4.  20.   2.   1.]
 [  1.  19.   2.   4.]]","[[  4.  20.   1.   4.]
 [  9. 119.   9.  31.]
 [  1.  18.   5.   3.]
 [  2.  17.   2.   5.]]","[[  8.  17.   1.   2.]
 [  5. 137.   7.  31.]
 [  2.  13.   6.   7.]
 [  1.   7.   3.   3.]]"
6,86_1,"[[ 3.  5.  0.  0.]
 [ 7. 24. 11.  2.]
 [ 1. 12.  1.  3.]
 [ 2.  9.  3.  3.]]","[[ 3.  4.  0.  1.]
 [ 3. 29.  3.  9.]
 [ 1. 12.  1.  3.]
 [ 0.  6.  1. 10.]]","[[ 5.  5.  0.  3.]
 [ 2. 33.  2. 13.]
 [ 0. 10.  2.  3.]
 [ 0.  3.  1.  4.]]"
7,89_1,"[[  0.  35.   0.   0.]
 [ 25. 121.   1.   0.]
 [  0.   1.   0.   0.]
 [  0.   0.   0.   0.]]","[[ 31.   4.   0.   0.]
 [ 21. 117.   9.   0.]
 [  0.   0.   1.   0.]
 [  0.   0.   0.   0.]]","[[ 14.  10.   1.   0.]
 [ 38. 110.   9.   0.]
 [  0.   1.   0.   0.]
 [  0.   0.   0.   0.]]"
8,90_1,"[[ 1.  0.  0.  0.]
 [34. 93.  1.  0.]
 [ 3.  5.  1.  0.]
 [ 1.  7.  0.  0.]]","[[  0.   1.   0.   0.]
 [  3. 107.   0.  18.]
 [  0.   6.   0.   3.]
 [  0.   4.   0.   4.]]","[[ 2. 30.  0.  7.]
 [ 1. 87.  0. 17.]
 [ 0.  1.  0.  1.]
 [ 0.  0.  0.  0.]]"
9,91_1,"[[  2.   2.   0.   0.]
 [ 31. 206.   2.  15.]
 [  2.  28.   2.   6.]
 [  1.  25.   0.  12.]]","[[  0.   4.   0.   0.]
 [  7. 200.  10.  37.]
 [  0.  21.   6.  11.]
 [  0.  17.   5.  16.]]","[[  4.  28.   2.   2.]
 [  3. 196.  16.  46.]
 [  0.   1.   1.   2.]
 [  0.  17.   2.  14.]]"
