,2020-08-18_1_1_0,2020-08-19_1_1_0,2020-08-20_1_1_0,2020-08-21_1_1_0,2020-08-24_1_1_0,2020-08-27_1_1_0,2020-08-30_1_1_0,2020-09-02_1_1_1,2020-09-05_1_1_0,2020-09-08_1_1_0,2020-09-11_1_1_0
0,5,2,711,1,1247,-1,13,525,20,7,653
1,9,7,3,956,10,-1,-1,-1,-1,-1,-1
2,22,12,13,882,21,-1,-1,-1,-1,-1,-1
3,61,-1,661,55,1250,-1,-1,-1,-1,-1,-1
4,63,50,38,59,77,-1,-1,-1,-1,-1,-1
5,64,-1,714,62,899,-1,-1,-1,-1,-1,-1
6,65,51,674,58,78,-1,-1,-1,-1,-1,-1
7,81,61,50,1319,94,-1,-1,-1,-1,-1,-1
8,86,956,-1,-1,95,-1,-1,-1,-1,-1,-1
9,90,67,56,866,100,-1,-1,-1,-1,-1,-1
10,98,-1,-1,93,107,-1,-1,-1,-1,-1,-1
11,117,86,71,988,129,-1,-1,-1,-1,-1,-1
12,202,-1,-1,-1,187,17,-1,-1,822,23,10
13,203,135,1011,1091,1070,635,68,27,564,617,14
14,211,145,119,189,196,24,69,512,689,-1,626
15,258,178,906,222,229,56,152,735,74,56,86
16,297,-1,-1,-1,274,-1,-1,-1,-1,-1,-1
17,300,205,178,1232,275,756,139,-1,105,-1,70
18,306,-1,1043,287,923,102,-1,-1,110,-1,-1
19,308,213,192,286,280,-1,-1,-1,-1,-1,-1
20,311,742,194,291,285,104,159,-1,119,102,83
21,312,220,-1,1302,291,112,955,474,658,659,-1
22,313,221,202,292,-1,822,228,122,121,783,823
23,314,222,200,-1,284,110,865,628,684,98,137
24,315,218,196,294,-1,111,921,-1,-1,-1,-1
25,316,739,843,1181,-1,770,153,-1,620,-1,-1
26,318,217,197,297,-1,106,221,128,117,97,840
27,321,224,207,303,292,805,961,132,126,111,767
28,322,225,206,300,293,113,-1,-1,125,110,770
29,326,851,966,1221,807,589,160,129,-1,113,-1
30,328,-1,257,1112,-1,169,-1,481,-1,169,146
31,349,240,882,326,320,-1,-1,-1,154,142,163
32,351,1110,239,818,834,684,-1,-1,161,147,170
33,356,-1,-1,340,-1,853,197,-1,779,146,120
34,358,249,242,343,335,150,274,158,164,149,908
35,359,250,1033,345,334,820,-1,156,872,148,125
36,363,257,246,1053,345,153,278,165,759,692,183
37,364,-1,865,351,1202,750,282,166,-1,-1,570
38,367,-1,-1,355,341,156,863,562,606,155,645
39,369,264,250,363,-1,159,287,172,176,168,641
40,371,263,1029,362,350,158,291,-1,171,164,192
41,373,265,252,360,348,160,299,-1,172,-1,190
42,379,271,260,369,1133,168,1093,526,182,172,207
